"states","indicator","items","sex","Unit","Date","Value"
"Enugu","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","596557"
"Gombe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","149566"
"Gombe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","81871"
"Gombe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","141431"
"Gombe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","78450"
"Gombe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","123972"
"Gombe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","190844"
"Gombe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","154953"
"Gombe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","500731"
"Gombe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","611991"
"Gombe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","234963"
"Gombe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","484318"
"Gombe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","1669"
"Gombe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","1792"
"Gombe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Male","","2012","4756"
"Gombe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","2734"
"Gombe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","259220"
"Gombe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","123271"
"Zamfara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","317613"
"Zamfara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","80991"
"Zamfara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","133042"
"Zamfara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","46776"
"Zamfara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","167250"
"Zamfara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","117875"
"Zamfara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","227683"
"Zamfara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","563255"
"Zamfara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","737967"
"Zamfara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","185561"
"Zamfara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","562805"
"Zamfara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Male","","2012","1281"
"Zamfara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","371074"
"Zamfara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","173383"
"Yobe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","168574"
"Yobe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","106015"
"Yobe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","102834"
"Yobe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","78421"
"Yobe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","104326"
"Yobe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","95134"
"Yobe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","119833"
"Yobe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","448144"
"Yobe","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","461007"
"Yobe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","138729"
"Yobe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","325597"
"Yobe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","1989"
"Yobe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","2277"
"Yobe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","7671"
"Yobe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","307138"
"Yobe","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","125750"
"Taraba","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","206048"
"Taraba","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","165015"
"Taraba","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","165116"
"Taraba","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","147127"
"Taraba","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","179326"
"Taraba","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","174031"
"Taraba","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","132131"
"Taraba","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","692221"
"Taraba","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","600718"
"Taraba","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","165557"
"Taraba","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","342280"
"Taraba","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Male","","2012","2320"
"Taraba","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","2722"
"Taraba","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","1423"
"Taraba","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","2722"
"Taraba","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","522921"
"Taraba","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","252994"
"Sokoto","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","313433"
"Sokoto","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","155563"
"Sokoto","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","196593"
"Sokoto","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","207083"
"Sokoto","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","203052"
"Sokoto","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","189829"
"Sokoto","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","253951"
"Sokoto","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","865907"
"Sokoto","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","864297"
"Sokoto","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","355333"
"Sokoto","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","751530"
"Sokoto","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Male","","2012","2257"
"Sokoto","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","4377"
"Sokoto","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","699"
"Sokoto","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Male","","2012","704"
"Sokoto","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","13154"
"Sokoto","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","507613"
"Sokoto","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","94537"
"Rivers","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","448989"
"Rivers","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","359139"
"Rivers","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","279897"
"Rivers","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","263082"
"Rivers","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","442677"
"Rivers","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","374054"
"Rivers","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","298778"
"Rivers","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","1445264"
"Rivers","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","1351012"
"Rivers","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","257393"
"Rivers","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","501957"
"Rivers","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Male","","2012","4084"
"Rivers","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","11364"
"Rivers","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","26504"
"Rivers","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","8369"
"Rivers","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","1172423"
"Rivers","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","814181"
"Plateau","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","198046"
"Plateau","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","149343"
"Plateau","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","209938"
"Plateau","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","98948"
"Plateau","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","259469"
"Plateau","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","239272"
"Plateau","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","206954"
"Plateau","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","685610"
"Plateau","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","889611"
"Plateau","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","223658"
"Plateau","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","477842"
"Plateau","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Male","","2012","1352"
"Plateau","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","9822"
"Plateau","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Male","","2012","6350"
"Plateau","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","3617"
"Plateau","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","454249"
"Plateau","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","398329"
"Oyo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","322221"
"Oyo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","238731"
"Oyo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","234294"
"Oyo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","233318"
"Oyo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","219237"
"Oyo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","301850"
"Oyo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","307019"
"Oyo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","1096121"
"Oyo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","1142690"
"Oyo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","297230"
"Oyo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","542881"
"Oyo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","7006"
"Oyo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","6277"
"Oyo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","15264"
"Oyo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","792614"
"Oyo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","577538"
"Osun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","235666"
"Osun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","131019"
"Osun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","168043"
"Osun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","136569"
"Osun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","138900"
"Osun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","205648"
"Osun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","271834"
"Osun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","708901"
"Osun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","834000"
"Osun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","154206"
"Osun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","373035"
"Osun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Male","","2012","966"
"Osun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","10552"
"Osun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","13408"
"Osun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","16921"
"Osun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Male","","2012","1388"
"Osun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","8690"
"Osun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","536504"
"Osun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","422374"
"Ondo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","251657"
"Ondo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","246669"
"Ondo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","165531"
"Ondo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","174816"
"Ondo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","185463"
"Ondo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","129024"
"Ondo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","174626"
"Ondo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","802165"
"Ondo","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","714758"
"Ondo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","115480"
"Ondo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","274553"
"Ondo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","2029"
"Ondo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","1492"
"Ondo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","14141"
"Ondo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","4650"
"Ondo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","685194"
"Ondo","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","419385"
"Ogun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","252165"
"Ogun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","172540"
"Ogun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","221028"
"Ogun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","207791"
"Ogun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","224392"
"Ogun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","252677"
"Ogun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","385959"
"Ogun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","885173"
"Ogun","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","1167586"
"Ogun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","325379"
"Ogun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","653572"
"Ogun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Male","","2012","1463"
"Ogun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","3543"
"Ogun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","16193"
"Ogun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","45080"
"Ogun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Male","","2012","1346"
"Ogun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","30511"
"Ogun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","540793"
"Ogun","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","434880"
"Niger","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","267200"
"Niger","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","98182"
"Niger","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","215354"
"Niger","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","96328"
"Niger","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","244952"
"Niger","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","227021"
"Niger","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","264803"
"Niger","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","688732"
"Niger","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","932693"
"Niger","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","265946"
"Niger","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","695365"
"Niger","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","1864"
"Niger","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Male","","2012","7447"
"Niger","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","1094"
"Niger","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","413475"
"Niger","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","236233"
"Nassarawa","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","151255"
"Nassarawa","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","106369"
"Nassarawa","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","113255"
"Nassarawa","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","86195"
"Nassarawa","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","113056"
"Nassarawa","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","109673"
"Nassarawa","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","74548"
"Nassarawa","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","453493"
"Nassarawa","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","437678"
"Nassarawa","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","135368"
"Nassarawa","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","262722"
"Nassarawa","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","1745"
"Nassarawa","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","1148"
"Nassarawa","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","318125"
"Nassarawa","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","172063"
"Lagos","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","474772"
"Lagos","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","394881"
"Lagos","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","383347"
"Lagos","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","515910"
"Lagos","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","449258"
"Lagos","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","621846"
"Lagos","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","614430"
"Lagos","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","2007409"
"Lagos","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","1877813"
"Lagos","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","408232"
"Lagos","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","804572"
"Lagos","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Male","","2012","4096"
"Lagos","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","3803"
"Lagos","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","2385"
"Lagos","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Male","","2012","13590"
"Lagos","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","4361"
"Lagos","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","1577688"
"Lagos","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","1066496"
"Kwara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","152116"
"Kwara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","88073"
"Kwara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","87994"
"Kwara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","70082"
"Kwara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","93938"
"Kwara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","82111"
"Kwara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","85620"
"Kwara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","392382"
"Kwara","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","475547"
"Kwara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","101095"
"Kwara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","217846"
"Kwara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Male","","2012","2055"
"Kwara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","9461"
"Kwara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","9931"
"Kwara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Male","","2012","2470"
"Kwara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","2876"
"Kwara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","277302"
"Kwara","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","244893"
"Kogi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","252461"
"Kogi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","184934"
"Kogi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","228523"
