"states","indicator","items","sex","Unit","Date","Value"
"Akwa Ibom","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","383476"
"Akwa Ibom","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","378878"
"Akwa Ibom","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","1238691"
"Akwa Ibom","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","1198272"
"Akwa Ibom","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","362993"
"Akwa Ibom","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","566885"
"Akwa Ibom","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Male","","2012","5604"
"Akwa Ibom","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","21287"
"Akwa Ibom","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","3919"
"Akwa Ibom","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Female","","2012","18246"
"Akwa Ibom","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Male","","2012","8562"
"Akwa Ibom","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","5562"
"Akwa Ibom","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","857614"
"Akwa Ibom","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","586292"
"Anambra","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","379489"
"Anambra","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","183097"
"Anambra","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","213564"
"Anambra","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","179405"
"Anambra","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","256908"
"Anambra","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","230042"
"Anambra","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","275213"
"Anambra","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","972033"
"Anambra","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Female","","2012","1069184"
"Anambra","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Male","","2012","192774"
"Anambra","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Married","Female","","2012","421288"
"Anambra","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Divorced","Female","","2012","8722"
"Anambra","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Seperated","Male","","2012","2684"
"Anambra","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Widowed","Female","","2012","7926"
"Anambra","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Male","","2012","776575"
"Anambra","DISTRIBUTIION OF YOUTH BY MARITAL STATUS AND SEX","Single","Female","","2012","631247"
"Bauchi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","15 - 19","Male","","2012","387570"
"Bauchi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Male","","2012","182657"
"Bauchi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","20 - 24","Female","","2012","265211"
"Bauchi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Male","","2012","191297"
"Bauchi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","25 - 29","Female","","2012","251416"
"Bauchi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Male","","2012","299977"
"Bauchi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","30 - 35","Female","","2012","241441"
"Bauchi","DISTRIBUTION OF YOUTH BY AGE GROUP AND SEX","National","Male","","2012","1061502"
